Lines,Lon,VehicleNumber,Time,Lat,Brigade,download_id
7,21.055443,1440,2024-01-22 20:24:24,52.25617,09,2
7,21.053291,1442,2024-01-22 18:54:13,52.255768,012,2
7,21.053715,1448,2024-01-22 10:42:57,52.255783,012,2
25,21.000977,1452,2024-01-22 19:19:46,52.18681,8,2
25,21.026264,1460,2024-01-22 20:44:03,52.2809,011,2
25,21.000332,1464,2024-01-22 20:44:04,52.187782,1,2
17,20.960821,1466,2024-01-22 20:44:00,52.3112,016,2
25,21.00396,1468,2024-01-22 20:43:59,52.206856,6,2
28,20.989817,2008,2024-01-22 20:44:04,52.256958,4,2
22,21.018658,2012,2024-01-22 20:44:00,52.23125,011,2
22,21.084892,2020,2024-01-22 20:44:03,52.244663,012,2
